, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Borussia Dortmund, ,34,23,6,5,67,22, ,12,4,1,35,8, ,11,2,4,32,14, ,45,75
2,Bayer Leverkusen, ,34,20,8,6,64,44, ,9,5,3,33,24, ,11,3,3,31,20, ,20,68
3,Bayern Munich, ,34,19,8,7,81,40, ,13,2,2,48,13, ,6,6,5,33,27, ,41,65
4,Hannover 96, ,34,19,3,12,49,45, ,12,1,4,32,17, ,7,2,8,17,28, ,4,60
5,Mainz, ,34,18,4,12,52,39, ,8,2,7,22,16, ,10,2,5,30,23, ,13,58
6,Nurnberg, ,34,13,8,13,47,45, ,9,2,6,28,19, ,4,6,7,19,26, ,2,47
7,Kaiserslautern, ,34,13,7,14,48,51, ,6,6,5,25,19, ,7,1,9,23,32, ,-3,46
8,Hamburg SV, ,34,12,9,13,46,52, ,7,5,5,29,24, ,5,4,8,17,28, ,-6,45
9,SC Freiburg, ,34,13,5,16,41,50, ,8,2,7,24,24, ,5,3,9,17,26, ,-9,44
10,FC Cologne, ,34,13,5,16,47,62, ,11,2,4,30,21, ,2,3,12,17,41, ,-15,44
11,TSG Hoffenheim, ,34,11,10,13,50,50, ,7,5,5,28,21, ,4,5,8,22,29, ,0,43
12,VfB Stuttgart, ,34,12,6,16,60,59, ,7,2,8,33,27, ,5,4,8,27,32, ,1,42
13,Werder Bremen, ,34,10,11,13,47,61, ,6,6,5,26,23, ,4,5,8,21,38, ,-14,41
14,Schalke 04, ,34,11,7,16,38,44, ,7,3,7,24,18, ,4,4,9,14,26, ,-6,40
15,VfL Wolfsburg, ,34,9,11,14,43,48, ,5,6,6,27,26, ,4,5,8,16,22, ,-5,38
16,Borussia Monchengladbach, ,34,10,6,18,48,65, ,5,3,9,26,31, ,5,3,9,22,34, ,-17,36
17,Eintracht Frankfurt, ,34,9,7,18,31,49, ,5,4,8,13,24, ,4,3,10,18,25, ,-18,34
18,St Pauli, ,34,8,5,21,35,68, ,4,3,10,21,35, ,4,2,11,14,33, ,-33,29
