, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Real Madrid, ,38,32,4,2,121,32, ,16,2,1,70,19, ,16,2,1,51,13, ,89,100
2,Barcelona, ,38,28,7,3,114,29, ,17,1,1,73,11, ,11,6,2,41,18, ,85,91
3,Valencia, ,38,17,10,11,59,44, ,11,4,4,40,20, ,6,6,7,19,24, ,15,61
4,Malaga, ,38,17,7,14,54,53, ,13,3,3,35,21, ,4,4,11,19,32, ,1,58
5,Atletico Madrid, ,38,15,11,12,53,46, ,11,5,3,36,17, ,4,6,9,17,29, ,7,56
6,Levante, ,38,16,7,15,54,50, ,11,3,5,33,19, ,5,4,10,21,31, ,4,55
7,Osasuna, ,38,13,15,10,44,61, ,10,6,3,26,19, ,3,9,7,18,42, ,-17,54
8,Mallorca, ,38,14,10,14,42,46, ,9,5,5,21,15, ,5,5,9,21,31, ,-4,52
9,Sevilla FC, ,38,13,11,14,48,47, ,9,4,6,32,25, ,4,7,8,16,22, ,1,50
10,Athletic Bilbao, ,38,12,13,13,49,52, ,8,7,4,29,21, ,4,6,9,20,31, ,-3,49
11,Getafe, ,38,12,11,15,40,51, ,8,6,5,24,19, ,4,5,10,16,32, ,-11,47
12,Real Sociedad, ,38,12,11,15,46,52, ,9,6,4,29,17, ,3,5,11,17,35, ,-6,47
13,Real Betis, ,38,13,8,17,47,56, ,7,7,5,28,25, ,6,1,12,19,31, ,-9,47
14,Espanyol, ,38,12,10,16,46,56, ,9,4,6,31,24, ,3,6,10,15,32, ,-10,46
15,Rayo Vallecano, ,38,13,4,21,53,73, ,8,1,10,29,26, ,5,3,11,24,47, ,-20,43
16,Real Zaragoza, ,38,12,7,19,36,61, ,8,4,7,19,24, ,4,3,12,17,37, ,-25,43
17,Granada, ,38,12,6,20,35,56, ,8,5,6,22,20, ,4,1,14,13,36, ,-21,42
18,Villarreal, ,38,9,14,15,39,53, ,6,10,3,26,20, ,3,4,12,13,33, ,-14,41
19,Sporting Gijon, ,38,10,7,21,42,69, ,7,4,8,24,26, ,3,3,13,18,43, ,-27,37
20,Racing Santander, ,38,4,15,19,28,63, ,3,7,9,11,24, ,1,8,10,17,39, ,-35,27
