, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,Bordeaux, ,38,24,8,6,64,34, ,14,5,0,36,12, ,10,3,6,28,22, ,30,80
2,Marseille, ,38,22,11,5,67,35, ,10,5,4,35,22, ,12,6,1,32,13, ,32,77
3,Lyon, ,38,20,11,7,52,29, ,10,8,1,32,15, ,10,3,6,20,14, ,23,71
4,Toulouse, ,38,16,16,6,45,27, ,10,8,1,26,8, ,6,8,5,19,19, ,18,64
5,Lille, ,38,17,13,8,51,39, ,12,5,2,34,20, ,5,8,6,17,19, ,12,64
6,Paris Saint-Germain, ,38,19,7,12,49,38, ,12,2,5,29,17, ,7,5,7,20,21, ,11,64
7,Stade Rennes, ,38,15,16,7,42,34, ,11,7,1,28,14, ,4,9,6,14,20, ,8,61
8,AJ Auxerre, ,38,16,7,15,35,35, ,8,6,5,18,12, ,8,1,10,17,23, ,0,55
9,Nice, ,38,13,11,14,40,41, ,7,7,5,22,19, ,6,4,9,18,22, ,-1,50
10,Lorient, ,38,10,15,13,47,47, ,5,7,7,21,20, ,5,8,6,26,27, ,0,45
11,AS Monaco, ,38,11,12,15,41,45, ,7,4,8,26,23, ,4,8,7,15,22, ,-4,45
12,Valenciennes, ,38,10,14,14,35,42, ,10,4,5,27,18, ,0,10,9,8,24, ,-7,44
13,Grenoble, ,38,10,14,14,24,37, ,6,7,6,9,13, ,4,7,8,15,24, ,-13,44
14,Sochaux, ,38,10,12,16,40,48, ,8,7,4,24,17, ,2,5,12,16,31, ,-8,42
15,AS Nancy Lorraine, ,38,10,12,16,38,47, ,5,8,6,19,19, ,5,4,10,19,28, ,-9,42
16,Le Mans, ,38,10,10,18,43,54, ,6,4,9,18,21, ,4,6,9,25,33, ,-11,40
17,St Etienne, ,38,11,7,20,40,56, ,9,4,6,25,23, ,2,3,14,15,33, ,-16,40
18,Caen, ,38,8,13,17,42,49, ,6,6,7,22,17, ,2,7,10,20,32, ,-7,37
19,Nantes, ,38,9,10,19,33,54, ,5,8,6,21,25, ,4,2,13,12,29, ,-21,37
20,Le Havre AC, ,38,7,5,26,30,67, ,4,0,15,17,34, ,3,5,11,13,33, ,-37,26
