, ,Overall, ,Home, ,Away, , , 
POS,TEAM, ,P,W,D,L,F,A, ,W,D,L,F,A, ,W,D,L,F,A, ,GD,PTS
1,AC Milan, ,34,25,7,2,65,24, ,14,2,1,39,15, ,11,5,1,26,9, ,41,82
2,AS Roma, ,34,21,8,5,68,19, ,13,1,3,45,12, ,8,7,2,23,7, ,49,71
3,Juventus, ,34,21,6,7,67,42, ,13,1,3,40,18, ,8,5,4,27,24, ,25,69
4,Internazionale, ,34,17,8,9,59,37, ,9,4,4,31,15, ,8,4,5,28,22, ,22,59
5,Parma, ,34,16,10,8,57,46, ,9,5,3,32,20, ,7,5,5,25,26, ,11,58
6,Lazio, ,34,16,8,10,52,38, ,10,4,3,35,19, ,6,4,7,17,19, ,14,56
7,Udinese, ,34,13,11,10,44,40, ,6,7,4,19,15, ,7,4,6,25,25, ,4,50
8,Sampdoria, ,34,11,13,10,40,42, ,8,4,5,26,23, ,3,9,5,14,19, ,-2,46
9,Chievo Verona, ,34,11,11,12,36,37, ,5,6,6,17,19, ,6,5,6,19,18, ,-1,44
10,Lecce, ,34,11,8,15,43,56, ,6,4,7,19,23, ,5,4,8,24,33, ,-13,41
11,Brescia, ,34,9,13,12,52,57, ,5,7,5,29,25, ,4,6,7,23,32, ,-5,40
12,Bologna, ,34,10,9,15,45,53, ,7,5,5,26,24, ,3,4,10,19,29, ,-8,39
13,Reggina, ,34,6,16,12,29,45, ,4,8,5,14,17, ,2,8,7,15,28, ,-16,34
14,Siena, ,34,8,10,16,41,54, ,7,4,6,23,15, ,1,6,10,18,39, ,-13,34
15,Perugia, ,34,6,14,14,44,56, ,3,10,4,26,27, ,3,4,10,18,29, ,-12,32
16,Modena, ,34,6,12,16,27,46, ,5,6,6,17,20, ,1,6,10,10,26, ,-19,30
17,Empoli, ,34,7,9,18,26,54, ,6,6,5,19,18, ,1,3,13,7,36, ,-28,30
18,Ancona, ,34,2,7,25,21,70, ,2,6,9,10,24, ,0,1,16,11,46, ,-49,13
